id,filename
426,20230310041826_045_0001.bmp
449,20230310041826_594_0002.bmp
576,20230310041851_893_0001.bmp
414,20230310041825_794_0000.bmp
66,20230310041755_849_0000.bmp
293,20230310041822_845_0000.bmp
1038,20230310043208_264_0000.bmp
980,20230310042929_619_0000.bmp
1063,20230310043332_861_0002.bmp
428,20230310041826_094_0001.bmp
1060,20230310043326_011_0000.bmp
100,20230310041801_548_0000.bmp
5,20230310041643_700_0000.bmp
755,20230310042229_335_0000.bmp
154,20230310041805_048_0002.bmp
1022,20230310043058_467_0000.bmp
1149,20230310043708_153_0000.bmp
149,20230310041804_998_0001.bmp
422,20230310041825_944_0001.bmp
145,20230310041804_949_0000.bmp
303,20230310041823_044_0000.bmp
950,20230310042802_723_0000.bmp
470,20230310041826_848_0001.bmp
188,20230310041812_395_0001.bmp
941,20230310042745_524_0000.bmp
922,20230310042712_925_0000.bmp
493,20230310041829_544_0001.bmp
92,20230310041757_499_0001.bmp
859,20230310042415_182_0000.bmp
274,20230310041822_395_0002.bmp
423,20230310041825_994_0000.bmp
818,20230310042318_834_0000.bmp
482,20230310041827_395_0000.bmp
357,20230310041824_644_0000.bmp
182,20230310041807_995_0000.bmp
227,20230310041821_795_0005.bmp
833,20230310042334_634_0000.bmp
974,20230310042918_520_0000.bmp
203,20230310041820_995_0000.bmp
465,20230310041826_795_0000.bmp
1153,20230310043738_052_0000.bmp
456,20230310041826_644_0006.bmp
216,20230310041821_695_0004.bmp
308,20230310041823_094_0000.bmp
310,20230310041823_094_0002.bmp
901,20230310042612_428_0000.bmp
1045,20230310043228_613_0000.bmp
78,20230310041756_599_0000.bmp
369,20230310041824_844_0001.bmp
861,20230310042417_732_0000.bmp
607,20230310041903_494_0000.bmp
413,20230310041825_694_0000.bmp
690,20230310042137_288_0000.bmp
609,20230310041903_594_0000.bmp
578,20230310041851_943_0001.bmp
739,20230310042227_735_0000.bmp
731,20230310042226_235_0000.bmp
705,20230310042150_737_0000.bmp
